office,year,state,roster_n,captured_n,capture_pct
senate,2014,IA,7,7,100.0
senate,2014,ID,6,4,66.7
senate,2014,IL,14,12,85.7
senate,2014,IN,8,1,12.5
senate,2014,KS,7,4,57.1
senate,2014,KY,13,6,46.2
senate,2014,LA,6,5,83.3
senate,2014,MA,15,11,73.3
senate,2014,MD,12,5,41.7
senate,2014,ME,11,7,63.6
senate,2014,MI,6,5,83.3
senate,2014,MN,11,10,90.9
senate,2014,MO,9,5,55.6
senate,2014,MS,4,1,25.0
senate,2014,MT,8,7,87.5
senate,2014,NC,17,12,70.6
senate,2014,ND,4,1,25.0
senate,2014,NE,15,7,46.7
senate,2014,NH,12,5,41.7
senate,2014,NJ,18,13,72.2
senate,2014,NM,10,7,70.0
senate,2014,NV,9,4,44.4
senate,2014,NY,11,5,45.5
senate,2014,OH,8,5,62.5
senate,2014,OK,13,12,92.3
senate,2014,OR,7,5,71.4
senate,2014,PA,12,6,50.0
senate,2014,RI,4,2,50.0
senate,2014,SC,14,11,78.6
senate,2014,SD,7,7,100.0
senate,2014,TN,6,5,83.3
senate,2014,TX,23,17,73.9
senate,2014,UT,10,7,70.0
senate,2014,VA,11,8,72.7
senate,2014,VT,4,4,100.0
senate,2014,WA,10,4,40.0
senate,2014,WI,9,6,66.7
senate,2014,WV,8,6,75.0
senate,2014,WY,4,4,100.0
senate,2016,AK,6,4,66.7
senate,2016,AL,7,5,71.4
senate,2016,AR,7,4,57.1
senate,2016,AZ,14,10,71.4
senate,2016,CA,22,12,54.5
senate,2016,CO,24,10,41.7
senate,2016,CT,8,6,75.0
senate,2016,DE,6,3,50.0
senate,2016,FL,27,11,40.7
senate,2016,GA,15,9,60.0
senate,2016,HI,8,7,87.5
senate,2016,IA,11,8,72.7
